Column3;Column1
1;brodmann_area_1_l
2;brodmann_area_2_l
3;brodmann_area_3_l
4;brodmann_area_4_l
5;brodmann_area_5_l
6;brodmann_area_6_l
7;brodmann_area_7_l
8;brodmann_area_8_l
9;brodmann_area_9_l
10;brodmann_area_10_l
11;brodmann_area_11_l
17;brodmann_area_17_l
18;brodmann_area_18_l
19;brodmann_area_19_l
20;brodmann_area_20_l
21;brodmann_area_21_l
22;brodmann_area_22_l
23;brodmann_area_23_l
24;brodmann_area_24_l
25;brodmann_area_25_l
26;brodmann_area_26_l
27;brodmann_area_27_l
28;brodmann_area_28_l
29;brodmann_area_29_l
30;brodmann_area_30_l
32;brodmann_area_32_l
34;brodmann_area_34_l
35;brodmann_area_35_l
36;brodmann_area_36_l
37;brodmann_area_37_l
38;brodmann_area_38_l
39;brodmann_area_39_l
40;brodmann_area_40_l
41;brodmann_area_41_l
42;brodmann_area_42_l
43;brodmann_area_43_l
44;brodmann_area_44_l
45;brodmann_area_45_l
46;brodmann_area_46_l
47;brodmann_area_47_l
48;brodmann_area_48_l
49;brodmann_area_1_r
50;brodmann_area_2_r
51;brodmann_area_3_r
52;brodmann_area_4_r
53;brodmann_area_5_r
54;brodmann_area_6_r
55;brodmann_area_7_r
56;brodmann_area_8_r
57;brodmann_area_9_r
58;brodmann_area_10_r
59;brodmann_area_11_r
65;brodmann_area_17_r
66;brodmann_area_18_r
67;brodmann_area_19_r
68;brodmann_area_20_r
69;brodmann_area_21_r
70;brodmann_area_22_r
71;brodmann_area_23_r
72;brodmann_area_24_r
73;brodmann_area_25_r
74;brodmann_area_26_r
75;brodmann_area_27_r
76;brodmann_area_28_r
77;brodmann_area_29_r
78;brodmann_area_30_r
80;brodmann_area_32_r
82;brodmann_area_34_r
83;brodmann_area_35_r
84;brodmann_area_36_r
85;brodmann_area_37_r
86;brodmann_area_38_r
87;brodmann_area_39_r
88;brodmann_area_40_r
89;brodmann_area_41_r
90;brodmann_area_42_r
91;brodmann_area_43_r
92;brodmann_area_44_r
93;brodmann_area_45_r
94;brodmann_area_46_r
95;brodmann_area_47_r
96;brodmann_area_48_r
