,x,+
"('vis1', 'vis1')",64210,64210
"('vis1', 'vis2')",10882503430,233693
"('vis1', 'smn')",11826454640,248394
"('vis1', 'aud')",1867676270,93297
"('vis1', 'lan')",4770160900,138500
"('vis1', 'dan')",5280373560,146446
"('vis1', 'fpn')",15911880100,312020
"('vis1', 'con')",12826718020,263972
"('vis1', 'dmn')",19073837340,361264
"('vis1', 'pmm')",1600562670,89137
"('vis1', 'vmm')",1699702910,90681
"('vis1', 'ora')",929760800,78690
"('vis2', 'vis2')",169483,169483
"('vis2', 'smn')",31216056872,353667
"('vis2', 'aud')",4929752021,198570
"('vis2', 'lan')",12590892070,243773
"('vis2', 'dan')",13937603988,251719
"('vis2', 'fpn')",41999582230,417293
"('vis2', 'con')",33856263046,369245
"('vis2', 'dmn')",50345603082,466537
"('vis2', 'pmm')",4224702741,194410
"('vis2', 'vmm')",4486384493,195954
"('vis2', 'ora')",2454113840,183963
"('smn', 'smn')",184184,184184
"('smn', 'aud')",5357360008,213271
"('smn', 'lan')",13683029360,258474
"('smn', 'dan')",15146555424,266420
"('smn', 'fpn')",45642637040,431994
"('smn', 'con')",36792964208,383946
"('smn', 'dmn')",54712593936,481238
"('smn', 'pmm')",4591154568,209111
"('smn', 'vmm')",4875534664,210655
"('smn', 'ora')",2666984320,198664
"('aud', 'aud')",29087,29087
"('aud', 'lan')",2160873230,103377
"('aud', 'dan')",2391998532,111323
"('aud', 'fpn')",7208049470,276897
"('aud', 'con')",5810477294,228849
"('aud', 'dmn')",8640409698,326141
"('aud', 'pmm')",725051649,54014
"('aud', 'vmm')",769961977,55558
"('aud', 'ora')",421179760,43567
"('lan', 'lan')",74290,74290
"('lan', 'dan')",6109312440,156526
"('lan', 'fpn')",18409804900,322100
"('lan', 'con')",14840318980,274052
"('lan', 'dmn')",22068141660,371344
"('lan', 'pmm')",1851826830,99217
"('lan', 'vmm')",1966530590,100761
"('lan', 'ora')",1075719200,88770
"('dan', 'dan')",82236,82236
"('dan', 'fpn')",20378903160,330046
"('dan', 'con')",16427627832,281998
"('dan', 'dmn')",24428532744,379290
"('dan', 'pmm')",2049896772,107163
"('dan', 'vmm')",2176869156,108707
"('dan', 'ora')",1190777280,96716
"('fpn', 'fpn')",247810,247810
"('fpn', 'con')",49503021220,447572
"('fpn', 'dmn')",73612951740,544864
"('fpn', 'pmm')",6177159870,272737
"('fpn', 'vmm')",6559778510,274281
"('fpn', 'ora')",3588288800,262290
"('con', 'con')",199762,199762
"('con', 'dmn')",59340101148,496816
"('con', 'pmm')",4979467374,224689
"('con', 'vmm')",5287899902,226233
"('con', 'ora')",2892553760,214242
"('dmn', 'dmn')",297054,297054
"('dmn', 'pmm')",7404665058,321981
"('dmn', 'vmm')",7863316434,323525
"('dmn', 'ora')",4301341920,311534
"('pmm', 'pmm')",24927,24927
"('pmm', 'vmm')",659842617,51398
"('pmm', 'ora')",360942960,39407
"('vmm', 'vmm')",26471,26471
"('vmm', 'ora')",383300080,40951
"('ora', 'ora')",14480,14480
